C1,C1S,C2,C2S,GI,DP,LOC,EVENT,ZONE
CAF,48,ANG,78,3,2021.11.28,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,76,CAF,60,6,2022.07.03,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,57,ANG,56,1,2021.11.26,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
CAF,64,CIV,92,2,2021.11.27,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,73,CIV,75,4,2022.07.01,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,73,CAF,63,5,2022.07.02,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
COD,69,CMR,71,7,2022.08.26,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,85,COD,56,10,2023.02.24,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,58,ANG,65,6,2022.08.27,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,77,CPV,69,7,2022.08.28,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,80,CPV,67,9,2023.02.25,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,79,CIV,64,10,2023.02.26,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,62,COD,51,3,2022.02.27,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
COD,52,EGY,80,6,2022.07.03,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,74,EGY,86,8,2022.08.27,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,63,CMR,71,11,2023.02.25,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,76,CAF,71,1,2021.11.26,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,75,GUI,59,2,2021.11.27,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,80,GUI,69,3,2021.11.28,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
CAF,61,GUI,56,4,2022.07.01,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,65,ANG,85,5,2022.07.02,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,56,CIV,65,6,2022.07.03,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,48,CPV,65,7,2022.08.26,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,78,GUI,70,10,2023.02.24,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
KEN,56,COD,66,1,2022.02.25,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,105,KEN,51,2,2022.02.26,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
COD,20,KEN,0,4,2022.07.01,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
KEN,39,EGY,72,5,2022.07.02,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,79,NGR,71,1,2021.11.26,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
NGR,70,CPV,79,3,2022.07.01,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,78,NGR,66,5,2022.08.26,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
NGR,89,GUI,70,6,2022.08.27,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,70,NGR,67,7,2022.08.28,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
NGR,72,CIV,63,8,2023.02.24,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,59,NGR,62,9,2023.02.25,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
NGR,59,ANG,65,10,2023.02.26,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
RWA,45,CMR,57,2,2022.02.26,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,52,RWA,59,5,2022.07.02,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,75,EGY,57,1,2022.02.25,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
COD,62,SEN,57,2,2022.02.26,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
KEN,55,SEN,100,3,2022.02.27,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,76,SEN,43,4,2022.07.01,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,60,COD,72,5,2022.07.02,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,86,KEN,54,6,2022.07.03,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,90,CMR,71,9,2022.08.28,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,63,SEN,89,12,2023.02.26,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,68,RWA,56,1,2022.02.25,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,74,CMR,68,3,2022.02.27,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
RWA,63,SSD,73,4,2022.07.01,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,56,SSD,67,6,2022.07.03,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,69,SSD,66,7,2022.08.26,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,101,COD,58,8,2022.08.27,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,65,SSD,85,9,2022.08.28,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,83,SEN,75,10,2023.02.24,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
COD,61,SSD,82,11,2023.02.25,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,97,EGY,77,12,2023.02.26,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,51,TUN,55,1,2022.02.25,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,64,SSD,72,2,2022.02.26,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,65,RWA,51,3,2022.02.27,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,65,CMR,54,4,2022.07.01,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
SSD,75,TUN,61,5,2022.07.02,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
RWA,66,TUN,76,6,2022.07.03,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,67,TUN,61,7,2022.08.26,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,63,SEN,73,8,2022.08.27,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
COD,45,TUN,57,9,2022.08.28,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,67,EGY,71,10,2023.02.24,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
SEN,53,TUN,70,11,2023.02.25,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
TUN,68,COD,72,12,2023.02.26,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
UGA,77,CPV,74,1,2021.11.27,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
UGA,69,NGR,95,2,2021.11.28,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,87,UGA,78,3,2022.07.02,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
NGR,91,UGA,72,4,2022.07.03,"City, Arena: Kigali (RWA), BK Arena",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,84,UGA,62,5,2022.08.26,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
UGA,80,CIV,91,6,2022.08.27,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,76,UGA,69,7,2022.08.28,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
UGA,49,ANG,82,8,2023.02.24,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,89,UGA,44,9,2023.02.25,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
UGA,47,GUI,88,10,2023.02.26,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
ARG,95,BAH,77,8,2022.08.29,"City, Arena: Mar del Plata (ARG), Polideportivo Islas Malvinas",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,76,ARG,80,10,2022.11.13,"City, Arena: Nassau (BAH), Sir Kendal Isaacs Gymnasium",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,115,BAH,73,1,2021.11.28,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,77,CAN,113,2,2021.11.29,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,99,ARG,87,7,2022.08.25,"City, Arena: Victoria (CAN), Victoria Memorial Arena",FIBA World Cup 2023 Qualifier Americas,Americas
ARG,83,CAN,72,11,2023.02.23,"City, Arena: Mar del Plata (ARG), Polideportivo Islas Malvinas",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,77,CHI,53,1,2021.11.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
CHI,55,BRA,81,2,2021.11.27,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
CHI,90,COL,76,3,2022.02.25,"City, Arena: Valdivia (CHI), Coliseo Antonio Azurmendi",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,119,COL,73,4,2022.02.28,"City, Arena: Franca (BRA), Ginásio Pedrocão",FIBA World Cup 2023 Qualifier Americas,Americas
COL,67,CHI,66,5,2022.06.30,"City, Arena: Barranquilla (COL), Coliseo Deportivo Elias Chegwin",FIBA World Cup 2023 Qualifier Americas,Americas
COL,104,BRA,98,6,2022.07.03,"City, Arena: Barranquilla (COL), Coliseo Deportivo Elias Chegwin",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,85,DOM,79,3,2022.02.26,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,65,DOM,90,4,2022.02.27,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,75,CAN,95,5,2022.07.01,"City, Arena: Hamilton (CAN), First Ontario Centre",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,88,BAH,80,6,2022.07.04,"City, Arena: Nassau (BAH), BahaMar Grand Ballroom",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,80,ARG,69,9,2022.11.10,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
ARG,75,DOM,79,12,2023.02.26,"City, Arena: Mar del Plata (ARG), Polideportivo Islas Malvinas",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,87,ISV,65,1,2021.11.28,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
ISV,56,DOM,100,2,2021.11.29,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,86,ISV,74,3,2022.02.26,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,94,ISV,46,4,2022.02.27,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
ISV,80,BAH,97,5,2022.07.01,"City, Arena: Charlotte Amalie (ISV), UVI Sports and Fitness Center",FIBA World Cup 2023 Qualifier Americas,Americas
ISV,67,CAN,113,6,2022.07.04,"City, Arena: Charlotte Amalie (ISV), UVI Sports and Fitness Center",FIBA World Cup 2023 Qualifier Americas,Americas
CUB,72,MEX,82,3,2022.02.24,"City, Arena: La Habana (CUB), Coliseo de la Ciudad Deportiva",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,75,CUB,66,5,2022.07.01,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,89,COL,93,7,2022.08.25,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,72,MEX,82,8,2022.08.29,"City, Arena: Jaraguá do Sul (BRA), Arena Jaraguá",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,56,BRA,102,10,2022.11.14,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
COL,54,MEX,113,11,2023.02.23,"City, Arena: Medellín (COL), Coliseo Ivan de Bedout",FIBA World Cup 2023 Qualifier Americas,Americas
ARG,65,PAN,58,4,2022.02.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,77,ARG,88,6,2022.07.03,"City, Arena: Panama City (PAN), Arena Roberto Durán",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,70,PAN,61,7,2022.08.25,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,50,CAN,106,8,2022.08.29,"City, Arena: Panama City (PAN), Arena Roberto Durán",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,83,PAN,79,9,2022.11.11,"City, Arena: Nassau (BAH), Sir Kendal Isaacs Gymnasium",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,112,PAN,71,10,2022.11.13,"City, Arena: Edmonton (CAN), Expo Centre",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,67,DOM,93,11,2023.02.23,"City, Arena: Panama City (PAN), Arena Roberto Durán",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,88,BAH,66,12,2023.02.26,"City, Arena: Panama City (PAN), Arena Roberto Durán",FIBA World Cup 2023 Qualifier Americas,Americas
ARG,93,PAR,67,1,2021.11.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAR,43,ARG,82,2,2021.11.27,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAR,59,PAN,81,3,2022.02.25,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,81,PAR,54,5,2022.06.30,"City, Arena: Panama City (PAN), Arena Roberto Durán",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,90,PUR,86,1,2021.11.28,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,69,CUB,60,2,2021.11.29,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
CUB,62,PUR,65,4,2022.02.27,"City, Arena: La Habana (CUB), Coliseo de la Ciudad Deportiva",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,97,MEX,87,6,2022.07.04,"City, Arena: San Juan (PUR), Coliseo Roberto Clemente",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,75,BRA,72,7,2022.08.25,"City, Arena: San Juan (PUR), Coliseo Roberto Clemente",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,91,COL,79,9,2022.11.11,"City, Arena: San Juan (PUR), Coliseo Roberto Clemente",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,90,PUR,92,11,2023.02.23,"City, Arena: Santa Cruz do Sul (BRA), Ginásio Poliesportivo Arnão",FIBA World Cup 2023 Qualifier Americas,Americas
COL,80,PUR,87,12,2023.02.26,"City, Arena: Medellín (COL), Coliseo Ivan de Bedout",FIBA World Cup 2023 Qualifier Americas,Americas
URU,83,COL,75,1,2021.11.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
COL,69,URU,82,2,2021.11.27,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,85,URU,66,3,2022.02.25,"City, Arena: Franca (BRA), Ginásio Pedrocão",FIBA World Cup 2023 Qualifier Americas,Americas
CHI,67,URU,78,4,2022.02.28,"City, Arena: Valdivia (CHI), Coliseo Antonio Azurmendi",FIBA World Cup 2023 Qualifier Americas,Americas
URU,60,BRA,73,5,2022.06.30,"City, Arena: Montevideo (URU), Antel Arena",FIBA World Cup 2023 Qualifier Americas,Americas
URU,75,CHI,65,6,2022.07.03,"City, Arena: Montevideo (URU), Antel Arena",FIBA World Cup 2023 Qualifier Americas,Americas
URU,78,PUR,70,8,2022.08.29,"City, Arena: Montevideo (URU), Antel Arena",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,80,URU,60,9,2022.11.11,"City, Arena: Chilpancingo (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,76,URU,68,10,2022.11.14,"City, Arena: San Juan (PUR), Coliseo Roberto Clemente",FIBA World Cup 2023 Qualifier Americas,Americas
URU,69,MEX,82,12,2023.02.26,"City, Arena: Montevideo (URU), Antel Arena",FIBA World Cup 2023 Qualifier Americas,Americas
USA,95,CUB,90,1,2021.11.28,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
MEX,97,USA,88,2,2021.11.29,"City, Arena: Chihuahua City (MEX), Gimnasio Auditorio Universitario",FIBA World Cup 2023 Qualifier Americas,Americas
USA,93,PUR,76,3,2022.02.24,"City, Arena: Washington DC (USA), Entertainment & Sports Arena",FIBA World Cup 2023 Qualifier Americas,Americas
USA,89,MEX,67,4,2022.02.27,"City, Arena: Washington DC (USA), Entertainment & Sports Arena",FIBA World Cup 2023 Qualifier Americas,Americas
PUR,75,USA,83,5,2022.07.01,"City, Arena: San Juan (PUR), Coliseo Roberto Clemente",FIBA World Cup 2023 Qualifier Americas,Americas
CUB,64,USA,87,6,2022.07.04,"City, Arena: La Habana (CUB), Coliseo de la Ciudad Deportiva",FIBA World Cup 2023 Qualifier Americas,Americas
USA,105,URU,71,7,2022.08.25,"City, Arena: Las Vegas (USA), Cox Pavilion",FIBA World Cup 2023 Qualifier Americas,Americas
COL,77,USA,95,8,2022.08.29,"City, Arena: Barranquilla (COL), Coliseo Deportivo Elias Chegwin",FIBA World Cup 2023 Qualifier Americas,Americas
USA,79,BRA,94,9,2022.11.11,"City, Arena: Washington (USA), Entertainment & Sports Arena",FIBA World Cup 2023 Qualifier Americas,Americas
USA,88,COL,81,10,2022.11.14,"City, Arena: Washington (USA), Entertainment & Sports Arena",FIBA World Cup 2023 Qualifier Americas,Americas
URU,77,USA,88,11,2023.02.23,"City, Arena: Montevideo (URU), Antel Arena",FIBA World Cup 2023 Qualifier Americas,Americas
BRA,83,USA,76,12,2023.02.26,"City, Arena: Santa Cruz do Sul (BRA), Ginásio Poliesportivo Arnão",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,77,PAN,56,1,2021.11.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAN,53,VEN,71,2,2021.11.27,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
ARG,58,VEN,71,3,2022.02.25,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
PAR,48,VEN,97,4,2022.02.26,"City, Arena: Buenos Aires (ARG), Estadio Obras Sanitarias",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,66,ARG,69,5,2022.06.30,"City, Arena: Puerto La Cruz (VEN), Gimnasio Luis Ramos",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,87,PAR,59,6,2022.07.03,"City, Arena: Puerto La Cruz (VEN), Gimnasio Luis Ramos",FIBA World Cup 2023 Qualifier Americas,Americas
BAH,81,VEN,86,7,2022.08.25,"City, Arena: Nassau (BAH), Sir Kendal Isaacs Gymnasium",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,76,DOM,72,8,2022.08.29,"City, Arena: Barquisimeto (VEN), Domo Bolivariano",FIBA World Cup 2023 Qualifier Americas,Americas
CAN,94,VEN,56,9,2022.11.10,"City, Arena: Edmonton (CAN), Expo Centre",FIBA World Cup 2023 Qualifier Americas,Americas
DOM,72,VEN,68,10,2022.11.13,"City, Arena: Santo Domingo (DOM), Palacio de los Deportes",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,115,BAH,70,11,2023.02.23,"City, Arena: Caracas (VEN), Poliedro de Caracas",FIBA World Cup 2023 Qualifier Americas,Americas
VEN,57,CAN,74,12,2023.02.26,"City, Arena: Caracas (VEN), Poliedro de Caracas",FIBA World Cup 2023 Qualifier Americas,Americas
BRN,50,AUS,104,7,2022.08.25,"City, Arena: Manama (BRN), Khalifa Sport City",FIBA World Cup 2023 Qualifier Asia,Asia
AUS,83,BRN,51,11,2023.02.23,"City, Arena: Melbourne (AUS), State Basketball Centre",FIBA World Cup 2023 Qualifier Asia,Asia
AUS,76,CHN,69,3,2022.06.30,"City, Arena: Melbourne (AUS), John Cain Arena",FIBA World Cup 2023 Qualifier Asia,Asia
CHN,48,AUS,71,5,2022.07.03,"City, Arena: Melbourne (AUS), John Cain Arena",FIBA World Cup 2023 Qualifier Asia,Asia
CHN,80,BRN,67,8,2022.08.29,"City, Arena: Astana (KAZ), Republican Velodrome Saryarka",FIBA World Cup 2023 Qualifier Asia,Asia
BRN,67,CHN,80,10,2022.11.14,"City, Arena: Manama (BRN), Khalifa Sport City",FIBA World Cup 2023 Qualifier Asia,Asia
IRI,82,BRN,66,1,2021.11.26,"City, Arena: Tehran (IRI), Azadi Basketball Hall",FIBA World Cup 2023 Qualifier Asia,Asia
BRN,64,IRI,100,2,2021.11.29,"City, Arena: Manama (BRN), Khalifa Sport City",FIBA World Cup 2023 Qualifier Asia,Asia
AUS,98,IRI,68,8,2022.08.29,"City, Arena: Bendigo (AUS), Bendigo Stadium",FIBA World Cup 2023 Qualifier Asia,Asia
IRI,72,CHN,81,9,2022.11.11,"City, Arena: Tehran (IRI), Azadi Basketball Hall",FIBA World Cup 2023 Qualifier Asia,Asia
IRI,20,AUS,0,10,2022.11.14,"City, Arena: Tehran (IRI), Azadi Basketball Hall",FIBA World Cup 2023 Qualifier Asia,Asia
CHN,86,IRI,74,12,2023.02.26,"City, Arena: Hong Kong (HKG), Tsuen Wan Stadium",FIBA World Cup 2023 Qualifier Asia,Asia
JOR,94,INA,64,4,2022.02.27,"City, Arena: Amman (JOR), Prince Hamza",FIBA World Cup 2023 Qualifier Asia,Asia
INA,52,JOR,77,6,2022.07.04,"City, Arena: Jakarta (INA), Istora Senayan",FIBA World Cup 2023 Qualifier Asia,Asia
JOR,80,IND,64,7,2022.08.25,"City, Arena: Amman (JOR), Prince Hamza",FIBA World Cup 2023 Qualifier Asia,Asia
IND,63,JOR,98,11,2023.02.24,"City, Arena: Bengaluru (IND), Sree Kanteerava Indoor Stadium",FIBA World Cup 2023 Qualifier Asia,Asia
CHN,79,JPN,63,1,2021.11.27,"City, Arena: Sendai (JPN), Xebio Arena",FIBA World Cup 2023 Qualifier Asia,Asia
JPN,73,CHN,106,2,2021.11.28,"City, Arena: Sendai (JPN), Xebio Arena",FIBA World Cup 2023 Qualifier Asia,Asia
AUS,80,JPN,64,4,2022.02.27,"City, Arena: Okinawa (JPN), Okinawa Arena",FIBA World Cup 2023 Qualifier Asia,Asia
JPN,52,AUS,98,5,2022.07.01,"City, Arena: Melbourne (AUS), John Cain Arena",FIBA World Cup 2023 Qualifier Asia,Asia
IRI,79,JPN,68,7,2022.08.25,"City, Arena: Tehran (IRI), Azadi Basketball Hall",FIBA World Cup 2023 Qualifier Asia,Asia
BRN,74,JPN,87,9,2022.11.11,"City, Arena: Manama (BRN), Khalifa Sport City",FIBA World Cup 2023 Qualifier Asia,Asia
JPN,96,IRI,61,11,2023.02.23,"City, Arena: Takasaki (JPN), Takasaki Arena",FIBA World Cup 2023 Qualifier Asia,Asia
